kind,subject,session,file,q_no,answer
answer_text,Psychology,2023-24,Psychology-MS.md,5,Ritik uses imagery and imagination to reduce his stress levels. 1
answer_text,Psychology,2023-24,Psychology-MS.md,6,"In the question given below, there are two statements marked as Assertion (A) 1"
answer_text,Psychology,2023-24,Psychology-MS.md,7,"While passing through the streets on her way to the office every day, Jaya feels 1"
answer_text,Psychology,2023-24,Psychology-MS.md,8,Sonali spends hours reading about her favorite actor. She is preoccupied with 1
answer_text,Psychology,2023-24,Psychology-MS.md,13,"In the question given below, there are two statements marked as Assertion (A) 1"
answer_text,Psychology,2023-24,Psychology-MS.md,14,A collection of people present at a place by chance is called a 1
answer_text,Psychology,2023-24,Psychology-MS.md,15,Which of the following is not a feature of a formal group? 1
answer_text,Psychology,2023-24,Psychology-MS.md,16,How did Charles Spearman explain the concept of intelligence? 2
answer_text,Psychology,2023-24,Psychology-MS.md,21,Ivaan never paid heed to his mother's advice of doing physical exercise daily in 2
answer_text,Psychology,2023-24,Psychology-MS.md,22,Shamin is a spiritual leader who possesses a particular type of intelligence as 3
answer_text,Psychology,2023-24,Psychology-MS.md,23,Describe Selye's General Adaptation Syndrome (GAS). 3
answer_text,Psychology,2023-24,Psychology-MS.md,26,"Danish is trying to lose weight. During the festivities, he made sure not to eat 4"
answer_text,Psychology,2023-24,Psychology-MS.md,27,Describe the importance of the therapeutic relationship in the process of 4
answer_text,Psychology,2023-24,Psychology-MS.md,30,All of us go through anxiety at some point in our lives. At what stage does 6
answer_text,Psychology,2023-24,Psychology-MS.md,33,Identify and explain the source of prejudice which leads students to perform 1
answer_text,Psychology,2023-24,Psychology-MS.md,34,Explain the cognitive and behavioral components of the teachers’ attitude 2
mcq_key,Computer Science,2023-24,ComputerScience-MS.md,33,A
answer_text,Computer Science,2023-24,ComputerScience-MS.md,9,Option d 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,10,Option b 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,11,Option b 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,12,Option c 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,13,True 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,14,Option c 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,15,Circuit 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,16,Option c 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,17,Option d 1 mark for 1
answer_text,Computer Science,2023-24,ComputerScience-MS.md,26,ND-*34 ½ mark for 3
answer_text,Computer Science,2023-24,ComputerScience-MS.md,29,(i) 1 mark for 1*3=3
answer_text,Bharatnatyam,2023-24,Bharatnatyam-MS.md,11,The Pancha jaatis with their matras are:- 1. Tishra jaati - Ta Ki Ta 3 2
answer_text,Bharatnatyam,2023-24,Bharatnatyam-MS.md,12,Stylised Abhinaya can be done with the help of gestures is called 2
answer_text,Bharatnatyam,2023-24,Bharatnatyam-MS.md,13,Rukmani Devi Arundale was a reformer who was a Bharatanatyam 2
answer_text,Bharatnatyam,2023-24,Bharatnatyam-MS.md,14,"Abhinaya – “abhi” (towards), and “naya” (to carry), or to carry the 6"
mcq_key,Biotechnology,2023-24,Biotechnology-MS.md,21,A
mcq_key,Biotechnology,2023-24,Biotechnology-MS.md,24,A
mcq_key,Biotechnology,2023-24,Biotechnology-MS.md,31,A
answer_text,Biotechnology,2023-24,Biotechnology-MS.md,19,Preparation is time consuming/Requires use of live animal or fresh tissue/ Variations in 2
answer_text,Biotechnology,2023-24,Biotechnology-MS.md,20,FISH Karyotyping 2
answer_text,Biotechnology,2023-24,Biotechnology-MS.md,22,Replica plating. 3
answer_text,Biotechnology,2023-24,Biotechnology-MS.md,23,In Situ Activation means activation of zymogens at their site of activity in the presence of 3
answer_text,Biotechnology,2023-24,Biotechnology-MS.md,32,Steps of Protein Fingerprinting (5 Marks) 5
answer_text,Biotechnology,2023-24,Biotechnology-MS.md,33,MICROARRAY (1 Mark) 5
mcq_key,Business Studies,2023-24,BusinessStudies-MS.md,9,C
mcq_key,Business Studies,2023-24,BusinessStudies-MS.md,10,B
mcq_key,Business Studies,2023-24,BusinessStudies-MS.md,11,D
mcq_key,Business Studies,2023-24,BusinessStudies-MS.md,13,B
mcq_key,Business Studies,2023-24,BusinessStudies-MS.md,14,A
mcq_key,Business Studies,2023-24,BusinessStudies-MS.md,16,B
mcq_key,Business Studies,2023-24,BusinessStudies-MS.md,17,D
mcq_key,Business Studies,2023-24,BusinessStudies-MS.md,25,A
answer_text,Business Studies,2023-24,BusinessStudies-MS.md,30,Mr Aariketh Acharya has suggested capital budgeting decision. 1 mark for
answer_text,Business Studies,2023-24,BusinessStudies-MS.md,32,Steps in planning process
answer_text,Business Studies,2023-24,BusinessStudies-MS.md,34,Functional structure . Functional structure is an organisational design mark for
answer_text,Sanskrit Elective,2023-24,SanskritElective-MS.md,18,(अ) अधोणिणखतप्रश्नानाम् उत्तराणर् णिखत। (के विं प्रश्नत्रयम्) 1×3=3
answer_text,Sanskrit Elective,2023-24,SanskritElective-MS.md,19,(अ) अधोणिणखतप्रश्नानाम् उत्तराणर् णिखत। (के विं प्रश्नत्रयम्) 1×3=3
mcq_key,Legal Studies,2023-24,LegalStudies-MS.md,31,A
mcq_key,Legal Studies,2023-24,LegalStudies-MS.md,36,A
mcq_key,Legal Studies,2023-24,LegalStudies-MS.md,37,A
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,14,"Answer: a. Both, A and R, are true and R is the correct explanation of A A 5A 1"
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,15,Answer: c. Trademark A 3D 1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,16,Answer: b. Facilitative Mediation A 2 1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,17,Answer: d. Assertion (A) is false but Reason (R) is true AEC 5A 1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,18,Answer: d. State Bar Association AEC 7 1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,19,Answer: b. Santhanam committee A 2 1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,20,"Answer: c. No, intention and preparation alone do not give rise to any criminal liability. AEC 4C 1"
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,21,Inquisitorial System. A 2 1+0.5+0.5
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,22,"In the USA, law graduates need to meet all requirements, including writing the Bar A 7 1+1"
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,25,Type- Lease A 3C 1+0.5+0.5
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,26,Trade secrets can include a wide range of confidential information that is important for A 3C 1+1
